"rowid" "kepid" "kepoi.Name" "koi.period" "koi.period.err1" "koi.period.err2" "koi.duration" "koi.duration.err1" "koi.duration.err2" "koi.depth" "koi.depth.err1" "koi.depth.err2" "koi.ror" "koi.ror.err1" "koi.ror.err2" "koi.srho" "koi.srho.err1" "koi.srho.err2" "koi.prad" "koi.prad.err1" "koi.prad.err2" "koi.insol" "koi.insol.err1" "koi.insol.err2" "koi.steff" "koi.steff.err1" "koi.steff.err2" "koi.slogg" "koi.slogg.err1" "koi.slogg.err2" "koi.srad" "koi.srad.err1" "koi.srad.err2" "koi.smass" "koi.smass.err1" "koi.smass.err2"
1161 5531576 K00837.01 7.95355717 1.72e-05 -1.72e-05 2.6287 0.0538 -0.0538 961.6 24.7 -24.7 0.027497 0.001171 -0.000536 4.00824 0.25344 -1.40509 2.3 0.26 -0.17 60.67 24.75 -14.21 4988.0 161.0 -138.0 4.586 0.028 -0.075 0.766 0.087 -0.057 0.823 0.061 -0.077
1206 6949607 K00870.02 8.98584768 1.483e-05 -1.483e-05 3.028 0.0604 -0.0604 905.3 16.4 -16.4 0.031108 6.3e-05 -0.004038 0.75106 1.89763 -0.28877 1.94 0.3 -0.31 15.86 24.92 -6.01 4072.0 720.0 -133.0 4.697 0.101 -0.101 0.57 0.09 -0.09 0.59 0.1 -0.1
1276 8505670 K00912.01 10.84844792 1.02e-05 -1.02e-05 2.9596 0.029 -0.029 1743.3 18.7 -18.7 0.036938 0.000982 -0.000471 3.83419 0.13182 -1.04099 2.38 0.36 -0.36 14.78 33.7 -5.24 4208.0 1067.0 -111.0 4.681 0.097 -0.097 0.59 0.09 -0.09 0.61 0.1 -0.1
1412 1432789 K00992.01 9.93143556 5.945e-05 -5.945e-05 5.659 0.139 -0.139 445.1 19.8 -19.8 0.01922 0.000722 -0.000501 0.48669 0.0211 -0.16396 1.92 0.75 -0.16 109.11 123.45 -29.01 5880.0 157.0 -190.0 4.518 0.034 -0.283 0.917 0.353 -0.078 1.01 0.112 -0.126
1525 3240158 K01106.02 15.9870174 0.0001999 -0.0001999 4.279 0.262 -0.262 210.1 19.2 -19.2 0.013451 0.00074 -0.000752 1.50391 0.49101 -0.593 1.48 0.6 -0.14 84.56 100.09 -24.16 6225.0 156.0 -209.0 4.461 0.048 -0.287 1.009 0.41 -0.096 1.07 0.197 -0.134
1600 10337517 K01165.01 7.053936122 7.49e-06 -7.49e-06 1.5785 0.0322 -0.0322 521.1 10.1 -10.1 0.020968 0.00046 -0.000277 15.23842 1.62262 -3.73911 2.55 0.87 -0.55 267.95 269.65 -118.1 5775.0 164.0 -140.0 4.267 0.212 -0.221 1.114 0.378 -0.239 0.839 0.142 -0.054
1611 10350571 K01175.01 31.5922646 0.0006809 -0.0006809 13.84 0.512 -0.512 156.8 10.0 -10.0 0.011467 0.000324 -0.000697 0.08675 0.03374 -0.01658 2.24 0.58 -0.57 71.35 50.79 -34.35 5611.0 110.0 -98.0 3.958 0.205 -0.135 1.791 0.463 -0.455 1.062 0.177 -0.131
1663 3939150 K01215.02 33.0063025 0.0001528 -0.0001528 7.201 0.117 -0.117 274.0 7.8 -7.8 0.0151 0.00049 -0.000241 0.77359 0.05721 -0.2212 2.79 0.69 -0.6 72.72 50.11 -31.17 5941.0 121.0 -113.0 4.032 0.174 -0.129 1.692 0.42 -0.363 1.125 0.187 -0.112
1695 6448890 K01241.01 21.4054901 0.0001219 -0.0001219 11.657 0.443 -0.443 402.3 7.9 -7.9 0.024556 0.000249 -0.002046 0.00683 0.00671 -0.00295 11.34 0.41 -0.4 320.44 51.51 -45.51 4840.0 97.0 -97.0 3.306 0.045 -0.045 4.23 0.15 -0.15 1.32 0.13 -0.13
1729 8564587 K01270.02 11.60907117 3.665e-05 -3.665e-05 2.757 0.145 -0.145 517.6 23.2 -23.2 0.528449 0.471139 -0.204553 0.07686 0.01771 -0.01654 45.65 10.33 -3.47 48.72 34.11 -11.32 5324.0 166.0 -140.0 4.585 0.026 -0.15 0.791 0.179 -0.06 0.884 0.066 -0.098
1742 8628758 K01279.01 14.37457351 3.236e-05 -3.236e-05 4.782 0.057 -0.057 345.9 6.7 -6.7 0.016889 0.000503 -0.000203 1.16591 0.03924 -0.35192 1.9 0.34 -0.18 81.7 40.95 -20.45 5775.0 111.0 -117.0 4.389 0.089 -0.139 1.031 0.185 -0.101 0.95 0.066 -0.061
1789 10794087 K01316.02 12.37679312 NaN NaN 3.85 NaN NaN NaN NaN NaN NaN 0.001 0.001 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.4 1.4 NaN 0.5 0.5
1852 6936909 K01363.02 5.70071153 2.47e-05 -2.47e-05 1.641 0.109 -0.109 384.1 29.9 -29.9 0.017928 0.001126 -0.000655 11.48591 1.68549 -5.04815 1.93 0.77 -0.17 270.62 320.24 -78.7 5993.0 167.0 -227.0 4.489 0.041 -0.288 0.986 0.393 -0.089 1.093 0.189 -0.148
1901 8874090 K01404.02 18.9062244 0.0002388 -0.0002388 3.693 0.274 -0.274 414.4 42.6 -42.6 0.019118 0.000901 -0.00139 2.14774 2.15967 -0.27435 0.94 0.19 -0.19 3.03 2.99 -1.3 3750.0 315.0 -105.0 4.813 0.125 -0.125 0.45 0.09 -0.09 0.48 0.1 -0.1
2055 9821454 K01529.01 17.9776157 0.0001874 -0.0001874 4.96 0.432 -0.432 221.3 14.7 -14.7 0.014683 0.000308 -0.000935 0.42761 1.70706 -0.07286 1.62 0.7 -0.15 76.46 95.44 -21.32 6305.0 155.0 -201.0 4.458 0.048 -0.296 1.011 0.433 -0.095 1.066 0.199 -0.129
2145 5289854 K01593.02 15.3825006 0.0001047 -0.0001047 3.891 0.154 -0.154 576.9 37.1 -37.1 0.021975 0.001029 -0.000821 2.26029 0.35982 -0.73512 2.19 0.91 -0.19 61.61 76.71 -16.6 5896.0 172.0 -193.0 4.516 0.036 -0.298 0.914 0.379 -0.079 1.0 0.12 -0.125
2337 3967760 K01760.02 8.77508519 5.56e-05 -5.56e-05 3.293 0.172 -0.172 383.6 30.5 -30.5 0.018115 0.000738 -0.001098 1.53878 1.09701 -0.37913 1.85 0.67 -0.16 104.68 113.17 -26.49 5497.0 160.0 -147.0 4.486 0.052 -0.258 0.936 0.339 -0.082 0.978 0.079 -0.083
2364 10005758 K01783.02 284.060953 0.00119 -0.00119 7.793 0.241 -0.241 1650.3 35.7 -35.7 0.042082 0.000451 -0.003955 1.15157 5.05712 -0.04258 4.4 1.55 -0.39 1.68 1.7 -0.44 6215.0 152.0 -181.0 4.488 0.044 -0.263 0.957 0.338 -0.084 1.027 0.131 -0.118
2416 2989404 K01824.01 3.553829671 4.868e-06 -4.868e-06 3.0447 0.0344 -0.0344 194.1 2.9 -2.9 0.012849 0.000261 -0.000215 1.04614 0.06549 -0.39291 1.93 1.17 -0.42 1174.24 2142.23 -545.12 6277.0 150.0 -194.0 4.211 0.178 -0.312 1.378 0.831 -0.304 1.123 0.306 -0.145
2448 5080636 K01843.02 6.35582284 3.396e-05 -3.396e-05 1.525 0.145 -0.145 200.6 22.1 -22.1 0.01285 0.000605 -0.001435 10.20387 8.74629 -2.76076 0.63 0.11 -0.07 11.02 5.47 -2.83 3584.0 69.0 -54.0 4.799 0.06 -0.09 0.45 0.08 -0.05 0.464 0.08 -0.05
2485 4939346 K01873.01 71.3116583 0.0005167 -0.0005167 8.781 0.124 -0.124 2366.0 58.0 -58.0 0.044574 0.00107 -0.000628 1.00968 0.0136 -0.29469 5.18 2.15 -0.52 11.79 14.72 -3.74 6167.0 181.0 -259.0 4.444 0.047 -0.273 1.064 0.442 -0.106 1.149 0.216 -0.165
2505 11074178 K01889.01 14.30511983 4.34e-05 -4.34e-05 4.449 0.136 -0.136 949.8 25.2 -25.2 0.03346 0.000401 -0.004522 0.1919 1.45045 -0.03018 3.11 1.34 -0.25 55.23 71.04 -13.14 5735.0 163.0 -149.0 4.548 0.03 -0.298 0.852 0.366 -0.068 0.934 0.097 -0.098
2508 8680979 K01891.01 15.95545002 4.701e-05 -4.701e-05 4.0285 0.0756 -0.0756 857.0 22.3 -22.3 0.027246 0.003752 -0.001041 1.41561 0.63314 -1.10621 2.21 0.35 -0.16 25.0 13.18 -5.67 5108.0 164.0 -130.0 4.608 0.027 -0.101 0.743 0.119 -0.055 0.825 0.072 -0.092
2519 7047922 K01899.01 19.76172042 6.67e-05 -6.67e-05 3.5906 0.0841 -0.0841 395.9 12.6 -12.6 0.019145 0.002483 -0.000811 1.8432 1.87638 -0.27375 2.46 1.29 -0.44 92.38 166.4 -47.34 6327.0 301.0 -493.0 4.327 0.131 -0.295 1.175 0.617 -0.21 1.064 0.277 -0.158
2532 5706966 K01908.02 24.0882568 0.0001541 -0.0001541 3.97 0.135 -0.135 399.2 19.1 -19.1 0.018787 0.00493 -0.001356 1.79423 1.61173 -0.33019 1.2 0.11 -0.11 4.83 1.53 -1.13 4159.0 94.0 -78.0 4.68 0.034 -0.053 0.583 0.057 -0.053 0.589 0.058 -0.053
2570 5202905 K01932.01 22.8245485 0.000227 -0.000227 6.499 0.284 -0.284 313.1 22.6 -22.6 0.016406 0.000766 -0.000637 0.73443 0.05998 -0.29515 5.69 1.26 -1.98 1040.56 689.73 -668.63 8241.0 226.0 -345.0 3.745 0.295 -0.112 3.177 0.704 -1.108 2.046 0.36 -0.397
2579 10005788 K01940.01 10.99469878 1.88e-05 -1.88e-05 1.6434 0.0478 -0.0478 971.8 33.8 -33.8 0.031603 9.6e-05 -0.003467 6.61712 16.58809 -3.2146 2.02 0.19 -0.21 16.24 5.52 -4.86 4302.0 130.0 -140.0 4.661 0.064 -0.033 0.586 0.053 -0.062 0.573 0.06 -0.045
2629 9412760 K01977.01 9.38742889 1.868e-05 -1.868e-05 1.4659 0.0592 -0.0592 395.9 15.2 -15.2 0.017717 0.001087 -0.000294 25.50198 4.6717 -9.75741 1.22 0.1 -0.13 23.88 7.42 -6.89 4386.0 128.0 -132.0 4.629 0.058 -0.026 0.63 0.051 -0.065 0.616 0.065 -0.052
2691 11450414 K01992.02 27.3216332 0.0002474 -0.0002474 3.763 0.289 -0.289 248.0 19.6 -19.6 0.015074 0.000313 -0.001097 2.28765 3.05178 -0.10961 1.64 0.64 -0.15 37.07 41.08 -10.42 6092.0 144.0 -198.0 4.471 0.046 -0.278 0.998 0.385 -0.094 1.074 0.183 -0.139
