"rowid" "kepid" "kepoi.Name" "koi.period" "koi.period.err1" "koi.period.err2" "koi.duration" "koi.duration.err1" "koi.duration.err2" "koi.depth" "koi.depth.err1" "koi.depth.err2" "koi.ror" "koi.ror.err1" "koi.ror.err2" "koi.srho" "koi.srho.err1" "koi.srho.err2" "koi.prad" "koi.prad.err1" "koi.prad.err2" "koi.insol" "koi.insol.err1" "koi.insol.err2" "koi.steff" "koi.steff.err1" "koi.steff.err2" "koi.slogg" "koi.slogg.err1" "koi.slogg.err2" "koi.srad" "koi.srad.err1" "koi.srad.err2" "koi.smass" "koi.smass.err1" "koi.smass.err2"
2571 5202905 K01932.02 14.8444163 0.0002281 -0.0002281 5.654 0.39 -0.39 192.4 19.9 -19.9 0.013293 0.000266 -0.001251 0.38998 0.30764 -0.05944 4.61 1.02 -1.61 1846.81 1224.15 -1186.7 8241.0 226.0 -345.0 3.745 0.295 -0.112 3.177 0.704 -1.108 2.046 0.36 -0.397
2580 10005788 K01940.02 6.73679732 NaN NaN 2.36 NaN NaN NaN NaN NaN NaN 0.001 0.001 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.4 1.4 NaN 0.5 0.5
2630 9412760 K01977.02 7.41557859 3.316e-05 -3.316e-05 2.076 0.11 -0.11 166.9 10.8 -10.8 0.011421 0.000448 -0.0007 7.23834 2.17855 -2.8582 0.79 0.06 -0.09 32.7 10.17 -9.42 4386.0 128.0 -132.0 4.629 0.058 -0.026 0.63 0.051 -0.065 0.616 0.065 -0.052
2690 11450414 K01992.01 12.7983044 6.253e-05 -6.253e-05 6.354 0.126 -0.126 336.2 10.0 -10.0 0.018252 7e-06 -0.00151 0.13331 0.27837 -0.01282 1.99 0.77 -0.19 102.02 113.09 -28.67 6092.0 144.0 -198.0 4.471 0.046 -0.278 0.998 0.385 -0.094 1.074 0.183 -0.139
2697 4736569 K01996.02 7.07399255 6.04e-05 -6.04e-05 2.436 0.155 -0.155 263.6 26.5 -26.5 0.014866 0.000979 -0.000824 3.85032 1.408 -1.39768 0.91 0.07 -0.06 41.43 13.57 -10.29 4777.0 173.0 -166.0 4.689 0.052 -0.034 0.561 0.041 -0.039 0.561 0.042 -0.025
2684 8564674 K02022.01 5.92973644 1.305e-05 -1.305e-05 2.4534 0.0568 -0.0568 430.1 12.7 -12.7 0.018974 0.000544 -0.00042 3.48156 0.2562 -1.20531 1.89 0.65 -0.16 224.5 227.98 -56.35 5941.0 156.0 -175.0 4.519 0.034 -0.258 0.911 0.317 -0.074 1.001 0.1 -0.119
2705 3657758 K02034.02 2.37030743 1.691e-05 -1.691e-05 1.845 0.139 -0.139 317.0 27.3 -27.3 0.016454 0.000749 -0.001007 2.64454 1.32848 -0.94293 1.56 0.67 -0.12 588.1 775.1 -147.11 5668.0 181.0 -174.0 4.545 0.028 -0.3 0.868 0.373 -0.068 0.963 0.097 -0.1
2708 6382217 K02036.02 5.7952971 3.286e-05 -3.286e-05 2.286 0.143 -0.143 369.1 28.9 -28.9 0.018856 0.00538 -0.002368 1.63605 2.76521 -1.2307 1.08 0.2 -0.11 21.42 12.34 -5.24 3903.0 104.0 -77.0 4.735 0.06 -0.1 0.523 0.1 -0.05 0.541 0.1 -0.05
2812 8612275 K02111.01 3.289722169 8.334e-06 -8.334e-06 2.3218 0.0633 -0.0633 246.0 9.8 -9.8 0.014398 0.000501 -0.000365 2.24962 0.1949 -0.84013 1.62 0.67 -0.18 667.45 818.64 -205.5 6052.0 162.0 -201.0 4.424 0.068 -0.283 1.028 0.427 -0.113 1.022 0.18 -0.123
2816 7207061 K02113.02 12.33090437 4.582e-05 -4.582e-05 3.0549 0.0776 -0.0776 979.8 37.1 -37.1 0.028252 0.00108 -0.000593 3.77691 0.41991 -1.10923 2.49 0.92 -0.19 47.99 56.47 -11.62 5376.0 201.0 -162.0 4.576 0.026 -0.24 0.806 0.299 -0.06 0.897 0.08 -0.089
